titulo;artista;genero;duracaoSegundos;reproducoes
Billie Jean;Michael Jackson;Pop;294;1850000000
Beat It;Michael Jackson;Pop Rock;258;1320000000
Smooth Criminal;Michael Jackson;Pop;257;980000000
Thriller;Michael Jackson;Pop;357;1450000000
Man in the Mirror;Michael Jackson;Pop;319;870000000
Simmer;Hayley Williams;Alternative;266;72000000
Dead Horse;Hayley Williams;Alternative;199;41000000
Over Yet;Hayley Williams;Alternative Pop;214;29000000
Cinnamon;Hayley Williams;Alternative;233;36000000
Roses/Lotus/Violet/Iris;Hayley Williams;Alternative;321;25000000
Sorry;Justin Bieber;Pop;200;2300000000
Love Yourself;Justin Bieber;Pop;233;2100000000
Peaches;Justin Bieber;Pop/R&B;198;1700000000
Ghost;Justin Bieber;Pop;153;850000000
What Do You Mean?;Justin Bieber;Pop;206;1450000000
